,COMPANY NAME,COMPANY TYPE,NMLS ID,COMPANY STATES
1,0Pointloan,Mortgage Bank,256271,"California, Colorado, Connecticut, Florida"
2,101 Loan,Mortgage Broker,121019,California
3,18th Street Mortgage,Mortgage Broker,1400814,Texas
4,1RATE,Mortgage Broker, 1948084,"California, Colorado, Delaware, Florida, Maryland, Virginia, Washington"
5,1st 2nd Mortgage Company,Mortgage Broker,115981,"Arizona, California, Connecticut, Hawaii, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Texas, Virginia, Washington, Wisconsin"
6,1st Alliance Lending,Mortgage Broker,2819,"Arizona, Connecticut, Rhode Island"
7,1st Alliance Mortgage,Mortgage Broker,337566,Texas
8,1st American Home Loans,Mortgage Broker,2960,"Connecticut, Rhode Island"
9,1st American Mortgage Lenders,Mortgage Broker,343714,California
10,1st American Senior Funding,Mortgage Broker,915904,California
11,1st Capital Mortgage,Mortgage Broker,398026,Oklahoma
12,1st Capitol Mortgage,Mortgage Broker,205695,Delaware
13,1st Choice Mortgage Company,Mortgage Broker,380736,Idaho
14,1st Colonial Community Bank,Bank,677617,New Jersey
15,1st Constitution Bank,Bank,433840,New Jersey
16,1st Financial,Mortgage Bank,185076,"Florida, Kentucky, Maryland, North Carolina, Ohio, Tennessee, Virginia"
17,1st Legacy Capital,Mortgage Broker,1547824,Mississippi
18,1st Liberty Federal Credit Union,Credit Union,758392,"Montana, North Dakota"
19,1st Look Mortgage,Mortgage Broker,1613902,"Florida, Indiana, Kentucky, Maryland"
20,1st Mariner Mortgage,Bank,408251,all 50 states
21,1st Midamerica Credit Union,Credit Union,458701,"Illinois, Missouri"
22,1st Monarch Mortgage,Mortgage Broker,242370,Ohio
23,1st Mortgage Solutions USA,Mortgage Bank,3001,"Arizona, Arkansas, California, Colorado, Florida, Idaho, Illinois, Indiana, Iowa, Kansas, Louisiana, Maryland, Michigan, Minnesota, Montana, Nebraska, Nevada, New Jersey, New Mexico, Ohio, Oklahoma, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Utah, Washington, Wisconsin, Wyoming"
24,1st Mortgages,Mortgage Bank,109995,"Arizona, Colorado, Illinois, Iowa, Kansas, Texas, Utah, Wyoming"
25,1st National Bank,Bank,807212,Ohio
26,1st Nations Reverse Mortgage,Mortgage Broker,130672,"California, Delaware, Florida, Georgia, Illinois, Indiana, Michigan, New Jersey, North Carolina, Ohio, Pennsylvania, South Carolina, Tennessee, Texas"
27,1st Nationwide Mortgage Corporation,Mortgage Bank,1281,"Alaska, California, Colorado, Florida, Oregon, Texas, Virginia, Washington"
28,1st Phase Mortgage,Mortgage Broker,1187366,Louisiana
29,1st Point Lending,Mortgage Broker,51392,California
30,1st Preference Mortgage,Mortgage Broker,132754,Maryland
31,1st Priority Mortgage,Mortgage Broker,29600,New York
32,1st Rate Home Mortgage,Mortgage Broker,37411,"Alaska, Arizona, California, Colorado, Florida, Hawaii, Idaho, Illinois, Maryland, Michigan, New Mexico, Oregon, Texas, Utah, Virginia, Washington"
33,1st Reliant Home Loans,Mortgage Broker,36659,"California, Florida, Maryland, Texas"
34,1st Reverse Mortgage USA,Mortgage Bank,3001,"Arizona, Arkansas, California, Colorado, Florida, Idaho, Illinois, Indiana, Iowa, Kansas, Louisiana, Maryland, Michigan, Minnesota, Montana, Nebraska, Nevada, New Jersey, New Mexico, Ohio, Oklahoma, Oregon, Pennsylvania, South Carolina, Tennessee, Texas, Utah, Washington, Wisconsin, Wyoming"
